a/a,METEO_ID,METEO_CODE,METEO_DESCR,METEO_LAT,METEO_LON,YPSOMETRO,DATE,MEAN_TEMP,HIGH_TEMP,TIME_HIGH_TEMP,LOW_TEMP,TIME_LOW_TEMP,HEAT_DEG_DAYS,HEAT_LOW_DAYS,RAIN,AVG_WIND_SPEED,HIGH_WIND_SPEED,TIME_HIGH_WIND_SPEED,DOM_DIR,OUT_HUM,OUT_HUM_MAX,OUT_HUM_MIN
114,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/22/09,15.8,19.1,01/03/01 12:00 AM,13.5,00:00:00,2.5,0.1,0,6.4,33.8,0.4,N,82.5,95,64
115,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/23/09,17,21.1,01/03/01 12:00 AM,14.1,00:00:00,1.8,0.5,0,1.6,16.1,0.6,N,78.8,94,60
116,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/24/09,17.6,21.8,01/03/01 12:00 AM,13.9,00:00:00,1.3,0.6,0,1.1,14.5,0.6,N,71.8,93,51
117,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/25/09,19.1,23.4,01/03/01 12:00 AM,15.4,00:00:00,0.4,1.1,0,0.6,12.9,0.5,N,69.3,93,50
118,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/26/09,18.8,24.3,01/03/01 12:00 AM,14.8,00:00:00,0.6,1.1,0,1,14.5,0.5,N,71,95,41
119,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/27/09,17.3,20.6,01/03/01 12:00 AM,14.7,00:00:00,1.4,0.3,0,4.2,25.7,0.7,N,82.7,93,64
120,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/28/09,15.6,18.6,01/03/01 12:00 AM,14,00:00:00,2.8,0,0,5,22.5,0.5,N,80.3,94,66
121,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/29/09,15.3,18.8,01/03/01 12:00 AM,12.9,00:00:00,3,0,0,0.5,9.7,0.5,N,79.5,94,20
122,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,09/30/09,16.8,21.1,01/03/01 12:00 AM,13.2,00:00:00,2.1,0.5,0,1.3,14.5,0.6,N,67.2,93,43
123,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/01/09,19.4,23.9,01/03/01 12:00 AM,16.3,00:00:00,0.4,1.4,0,0.5,12.9,0.6,N,53.6,68,40
124,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/02/09,19.3,23.1,01/03/01 12:00 AM,16.9,00:00:00,0.2,1.2,0,10.1,53.1,0,S,63.4,85,46
125,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/03/09,18.9,19.8,01/03/01 12:00 AM,17.9,00:00:00,0.1,0.6,0,31.7,70.8,0.2,S,91.4,98,79
126,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/04/09,19.9,24,01/03/01 12:00 AM,17.2,00:00:00,0.1,1.7,0,9.7,38.6,0,S,75.8,91,58
127,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/05/09,18.6,22.3,01/03/01 12:00 AM,16.2,00:00:00,0.7,0.9,0,1.4,17.7,0.5,N,78.1,97,58
128,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/06/09,17,19.8,01/03/01 12:00 AM,15.2,00:00:00,1.5,0.1,0,3.4,22.5,0.4,N,91.7,98,73
129,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/07/09,18.1,21.5,01/03/01 12:00 AM,15.2,00:00:00,1,0.7,0,1.6,14.5,0.5,N,79.7,97,62
130,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/08/09,17.3,21.6,01/03/01 12:00 AM,14.2,00:00:00,1.6,0.6,0,1.1,16.1,0.7,N,74.3,91,54
131,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/09/09,19.1,22.4,01/03/01 12:00 AM,16.1,00:00:00,0.3,1,0,0.6,12.9,0.6,N,65.9,88,50
132,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/10/09,20.2,24,01/03/01 12:00 AM,17.6,00:00:00,0.1,1.8,0,0.3,12.9,0.6,N,54.7,69,43
133,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/11/09,20.2,23.1,01/03/01 12:00 AM,16.7,00:00:00,0.1,1.9,0,1.1,17.7,0.9,N,64.3,88,41
134,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/12/09,18.3,21.3,01/03/01 12:00 AM,14.8,00:00:00,0.7,0.7,0,16.6,49.9,0.6,S,77.6,88,61
135,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/13/09,17.6,18.9,01/03/01 12:00 AM,15.7,00:00:00,0.8,0,9.6,26.2,78.9,0.5,S,83.3,93,65
136,76,sa01,ΙΚΑΡΙΑ - ΡΑΧΕΣ,37.6,26.08,465,10/14/09,13.9,17.4,01/03/01 12:00 AM,11.6,00:00:00,4.4,0,0,2.6,29,0,N,77.2,89,59
